"","year","fold.out","alpha","FP","TP","FN","TN","hull.area"
"266",2016,3,5641.89583547756,199,431,12,244,1024667634.2126
"267",2017,3,5641.89583547756,36,156,26,146,2704769129.25463
"268",2018,3,5641.89583547756,382,715,56,389,8602548273.92789
"269",2019,3,5641.89583547756,247,1364,73,1190,20665224305.53
"270",2020,3,5641.89583547756,109,626,103,620,26566204296.4457
"271",2021,3,5641.89583547756,131,861,116,846,29435883963.2904
"272",2022,3,5641.89583547756,202,1174,217,1189,36548486495.1299
"273",2023,3,5641.89583547756,320,1683,257,1620,45221683700.0504
"274",2024,3,5641.89583547756,417,1685,162,1430,50006668942.3893
"275",2025,3,5641.89583547756,221,1062,159,1000,54963211639.0792
"276",2026,3,5641.89583547756,0,5,0,5,54968284147.0714
"277",2015,4,5641.89583547756,389,488,3,102,200749657.067981
"278",2016,4,5641.89583547756,216,438,6,228,1021090990.51664
"279",2017,4,5641.89583547756,38,162,20,144,2489290510.37235
"280",2018,4,5641.89583547756,399,713,59,373,8172012037.73813
"281",2019,4,5641.89583547756,248,1368,68,1188,20861015654.4028
"282",2020,4,5641.89583547756,94,626,102,634,26568054139.042
"283",2021,4,5641.89583547756,112,869,107,864,29043692867.7109
"284",2022,4,5641.89583547756,251,1215,177,1141,36226840758.027
"285",2023,4,5641.89583547756,329,1715,226,1612,44743484763.9015
"286",2024,4,5641.89583547756,416,1685,161,1430,52368137830.8977
"287",2025,4,5641.89583547756,242,1073,147,978,56726304074.2995
"288",2026,4,5641.89583547756,0,6,0,6,56513912432.8196
"289",2015,5,5641.89583547756,371,491,0,120,210863164.20814
"290",2016,5,5641.89583547756,206,439,5,238,1027338405.38388
"291",2017,5,5641.89583547756,47,162,20,135,2961012411.29011
"292",2018,5,5641.89583547756,403,717,55,369,8733976213.36085
"293",2019,5,5641.89583547756,263,1347,89,1173,20721879095.8101
"294",2020,5,5641.89583547756,110,659,70,619,26773340032.2174
"295",2021,5,5641.89583547756,126,866,110,850,29858614250.3894
"296",2022,5,5641.89583547756,287,1218,173,1104,35729894175.388
"297",2023,5,5641.89583547756,346,1685,255,1594,45357689312.0334
"298",2024,5,5641.89583547756,427,1703,144,1420,50159290174.0777
"299",2025,5,5641.89583547756,208,1064,157,1013,54955460085.6228
"300",2026,5,5641.89583547756,0,4,1,5,54900330918.4674
"301",2015,1,6770.27500257308,373,487,4,118,213220681.367844
"302",2016,1,6770.27500257308,208,432,12,236,1036422840.44653
"303",2017,1,6770.27500257308,37,160,22,145,3515058659.45777
"304",2018,1,6770.27500257308,397,741,31,375,9861602450.65673
"305",2019,1,6770.27500257308,315,1380,56,1121,22565442694.4868
"306",2020,1,6770.27500257308,92,669,60,637,28581313109.8164
"307",2021,1,6770.27500257308,134,882,94,842,32681485090.3384
"308",2022,1,6770.27500257308,264,1224,167,1127,41315607584.9786
"309",2023,1,6770.27500257308,345,1732,208,1595,56010609548.7446
"310",2024,1,6770.27500257308,454,1714,133,1393,63252436699.7936
"311",2025,1,6770.27500257308,253,1077,144,968,71618669770.3598
"312",2026,1,6770.27500257308,0,4,1,5,71489672191.1244
"313",2015,2,6770.27500257308,380,487,4,111,201019277.201616
"314",2016,2,6770.27500257308,213,437,7,231,1086822292.4223
"315",2017,2,6770.27500257308,44,161,21,138,3206706444.38658
"316",2018,2,6770.27500257308,418,739,33,354,10279099023.1788
"317",2019,2,6770.27500257308,329,1380,56,1107,22720884816.936
"318",2020,2,6770.27500257308,133,646,82,595,28630763098.8817
"319",2021,2,6770.27500257308,136,883,93,840,32809019998.2116
"320",2022,2,6770.27500257308,281,1231,161,1111,41556050440.318
"321",2023,2,6770.27500257308,346,1750,191,1595,55445643076.3248
"322",2024,2,6770.27500257308,492,1729,117,1354,61636607095.641
"323",2025,2,6770.27500257308,254,1095,125,966,72956331557.22
"324",2026,2,6770.27500257308,0,5,1,6,72741770534.019
"325",2015,3,6770.27500257308,362,484,6,128,212129369.557119
"326",2016,3,6770.27500257308,216,432,11,227,1064497190.61664
"327",2017,3,6770.27500257308,35,163,19,147,3290611308.91717
"328",2018,3,6770.27500257308,381,727,44,390,10269852814.6227
"329",2019,3,6770.27500257308,309,1381,56,1128,22591207976.1242
"330",2020,3,6770.27500257308,119,640,89,610,28567414286.1963
"331",2021,3,6770.27500257308,138,878,99,839,32158100974.2296
"332",2022,3,6770.27500257308,227,1206,185,1164,41219418868.3763
"333",2023,3,6770.27500257308,358,1709,231,1582,55037102857.1925
"334",2024,3,6770.27500257308,438,1721,126,1409,62102937437.4697
"335",2025,3,6770.27500257308,236,1079,142,985,70334848621.7093
"336",2026,3,6770.27500257308,0,4,1,5,69702524896.9903
"337",2015,4,6770.27500257308,408,488,3,83,205541225.021887
"338",2016,4,6770.27500257308,210,438,6,234,1135546220.48725
"339",2017,4,6770.27500257308,39,170,12,143,3546278861.53441
"340",2018,4,6770.27500257308,389,740,32,383,10120569193.6982
"341",2019,4,6770.27500257308,318,1387,49,1118,22608873398.944
"342",2020,4,6770.27500257308,128,642,86,600,28323236545.346
"343",2021,4,6770.27500257308,121,877,99,855,32324915863.0719
"344",2022,4,6770.27500257308,239,1243,149,1153,41308102807.8103
"345",2023,4,6770.27500257308,367,1756,185,1574,56166074075.6153
"346",2024,4,6770.27500257308,462,1701,145,1384,60740061931.5874
"347",2025,4,6770.27500257308,269,1095,125,951,71668216209.5251
"348",2026,4,6770.27500257308,0,5,1,6,71493207704.5056
"349",2015,5,6770.27500257308,393,491,0,98,220166985.943599
"350",2016,5,6770.27500257308,204,439,5,240,1135158052.76685
"351",2017,5,6770.27500257308,38,164,18,144,3478610804.51062
"352",2018,5,6770.27500257308,407,725,47,365,10160413859.2029
"353",2019,5,6770.27500257308,287,1367,69,1149,22311841316.0408
"354",2020,5,6770.27500257308,110,665,64,619,28474106482.8439
"355",2021,5,6770.27500257308,138,876,100,838,32811094846.3855
"356",2022,5,6770.27500257308,259,1242,149,1132,41289917378.48
"357",2023,5,6770.27500257308,361,1714,226,1579,54542866433.782
"358",2024,5,6770.27500257308,436,1727,120,1411,62139960351.3712
"359",2025,5,6770.27500257308,265,1085,136,956,69127352616.9456
"360",2026,5,6770.27500257308,0,4,1,5,69033923649.0298
"361",2015,1,7898.65416966859,401,487,4,90,216527055.417368
"362",2016,1,7898.65416966859,205,436,8,239,1118843351.63449
"363",2017,1,7898.65416966859,62,162,20,120,3997826087.85745
"364",2018,1,7898.65416966859,396,751,21,376,12469105147.781
"365",2019,1,7898.65416966859,355,1391,45,1081,23952066287.2066
"366",2020,1,7898.65416966859,115,673,56,614,30469911128.8232
"367",2021,1,7898.65416966859,136,894,82,840,35621945672.1234
"368",2022,1,7898.65416966859,280,1251,140,1111,47236380372.7431
"369",2023,1,7898.65416966859,388,1768,172,1552,64972113257.444
"370",2024,1,7898.65416966859,502,1735,112,1345,75942124281.4326
"371",2025,1,7898.65416966859,249,1082,139,972,83893757937.4981
"372",2026,1,7898.65416966859,0,3,2,5,84432426556.3479
"373",2015,2,7898.65416966859,399,488,3,92,210552091.79079
"374",2016,2,7898.65416966859,214,438,6,230,1169491856.9816
"375",2017,2,7898.65416966859,58,174,8,124,4252086249.77847
"376",2018,2,7898.65416966859,431,746,26,341,12814114796.4538
"377",2019,2,7898.65416966859,345,1384,52,1091,23975783281.5978
"378",2020,2,7898.65416966859,116,655,73,612,30557317469.1838
"379",2021,2,7898.65416966859,127,889,87,849,34926378859.7733
"380",2022,2,7898.65416966859,296,1248,144,1096,47495617079.5368
"381",2023,2,7898.65416966859,381,1788,153,1560,64914905452.6388
"382",2024,2,7898.65416966859,537,1751,95,1309,73568726866.2115
"383",2025,2,7898.65416966859,256,1107,113,964,84103833291.4647
"384",2026,2,7898.65416966859,0,5,1,6,84119931339.4208
"385",2015,3,7898.65416966859,408,485,5,82,222068857.954001
"386",2016,3,7898.65416966859,232,433,10,211,1180251211.39619
"387",2017,3,7898.65416966859,37,163,19,145,3803781258.08873
"388",2018,3,7898.65416966859,415,741,30,356,12610884107.1401
"389",2019,3,7898.65416966859,295,1390,47,1142,23669182731.313
"390",2020,3,7898.65416966859,127,648,81,602,30087006508.3739
"391",2021,3,7898.65416966859,140,887,90,837,35095190314.9215
"392",2022,3,7898.65416966859,283,1226,165,1108,45633687845.6093
"393",2023,3,7898.65416966859,386,1750,190,1554,63014189407.8994
"394",2024,3,7898.65416966859,470,1742,105,1377,74707945272.5908
"395",2025,3,7898.65416966859,270,1086,135,951,83204004412.83
"396",2026,3,7898.65416966859,0,5,0,5,83131250538.3553
"397",2015,4,7898.65416966859,403,488,3,88,216151840.42318
"398",2016,4,7898.65416966859,206,439,5,238,1248319648.82093
"399",2017,4,7898.65416966859,52,172,10,130,4294378985.22556
"400",2018,4,7898.65416966859,400,744,28,372,11388824235.3236
"401",2019,4,7898.65416966859,318,1393,43,1118,23669194549.9708
"402",2020,4,7898.65416966859,125,655,73,603,30646290277.9136
"403",2021,4,7898.65416966859,124,889,87,852,36297723733.2691
"404",2022,4,7898.65416966859,277,1258,134,1115,46729271768.584
"405",2023,4,7898.65416966859,380,1773,168,1561,64510180260.6841
"406",2024,4,7898.65416966859,513,1715,131,1333,73757110152.441
"407",2025,4,7898.65416966859,299,1102,118,921,83574232996.5323
"408",2026,4,7898.65416966859,0,6,0,6,83288269649.0739
"409",2015,5,7898.65416966859,391,491,0,100,230098894.125564
"410",2016,5,7898.65416966859,216,439,5,228,1195713163.74329
